"salePointName","address","salePointCode","status","openHours__days","openHours__hours","rko","network","openHoursIndividual__days","openHoursIndividual__hours","officeType","salePointFormat","suoAvailability","hasRamp","latitude","longitude","metroStation","distance","kep","myBranch"
"ДО «Солнечногорский» Филиала № 7701 Банка ВТБ (ПАО)","141506, Московская область, г. Солнечногорск, ул. Красная, д. 60","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","56.184479","36.984314","null","62105","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Баранова» Филиала № 7701 Банка ВТБ (ПАО)","141500, Московская область, г. Солнечногорск, ул. Баранова, д. 1, 1-й этаж","","открытая","пн-чт","09:00-18:00","нет РКО","","пн-пт","09:00-20:00","Да","Стандарт","null","null","56.183239","36.9757","null","62343","null","False"
"","","","","пт","09:00-17:00","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","сб,вс","выходной","","","в","выходной","","","","","","","","","",""
"ДО «Лобня» Филиала № 7701 Банка ВТБ (ПАО)","141730, Московская область, г. Лобня, ул. Ленина, д. 9","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","56.012386","37.482059","МЦД-1 Белорусско-Савёловский диаметр, станция Лобня","29989","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
